,word,definition,grouping
136,adverse,"unfavorable, antagonistic in purpose or effect, hostile",adjective
137,adversity,hardship (usually uncountable),noun
138,advert,to turn attention,verb
139,advisory,able to give advice,adjective
140,advocacy,active support,noun
141,advocate,to speak in favor of,verb
142,aegis,"the shield or breastplate of zeus or athena, protection",noun
143,aerial,"of, in, or from the air, atmospheric",adjective
144,aeronaut,one who glides through the air in an airship or balloon,noun
145,aerostat,an aircraft that derives its lift from buoyancy,noun
146,aesthete,a person who has refined sensitivity towards art or nature,noun
147,aesthetic,having a sense of beauty,adjective
148,affable,"pleasant, easy to approach",adjective
149,affect,to influence or alter,verb
150,affiliate,"to adopt, to receive into a family as a son, to ally",verb
151,affiliation,the relationship resulting from association,noun
152,affinity,"a natural liking for or attraction to a person, thing, idea",noun
153,affirmation,"a declaration that something is true, an oath",noun
154,affirmative,"pertaining to truth, asserting that something is true",adjective
155,affix,to attach,verb
156,afflict,to distress with mental/bodily pain,verb
157,affluent,"having lots of wealth, property or other material goods",adjective
158,affront,"to insult intentionally, especially openly",verb
159,aficionado,a fan or devotee,noun
160,afire,on fire,adjective
161,afoot,on foot,adjective
162,aforesaid,a previously stated statement,adjective
163,afresh,anew,adjective
164,afrikaans,"an official language of south africa, developed out of dutch",noun
165,agglomerate,"to wind or collect into a ball, to gather into a mass",verb
166,aggrandize,to widen in scope,verb
167,aggravate,"to make worse, or more severe",verb
168,aggregate,"to bring together, to collect into a mass or sum",verb
169,aggress,"to set upon, to attack",verb
170,aggrieve,"to give pain or sorrow to, to afflict, to oppress",verb
171,aghast,"terrified, struck with amazement",adjective
172,agile,"active, quick and coordinated",adjective
173,agitate,"to move with a violent, irregular action",verb
174,agnostic,the doubt of a higher power/being,adjective
175,agog,"in eager desire, eager, astir",adjective
176,agrarian,"of, or relating to, the ownership and cultivation of land",adjective
177,agriculture,the art or science of cultivating the ground,noun
178,aide-de-camp,a military officer who assists a higher ranking officer,noun
179,ailment,"a disease, sickness",noun
180,akin,"related by blood, similar",adjective
181,alabaster,a finely granular variety of gypsum,noun
182,alacrity,cheerful readiness,noun
183,albeit,"although, even if",adjective
184,albino,"a person, plant or animal with a deficiency in pigmentation",adjective
185,alchemy,the search for a universal panacea (became chemistry),noun
186,alcoholism,a chronic disorder characterized by dependence on alcohol,noun
187,alcove,a small recessed area set off from a larger room,noun
188,alder,belonging to the birch tree family,noun
189,alderman,a member of several municipal legislative bodies,noun
190,alias,a false name used to conceal one's identity,noun
191,alibi,"an excuse, especially to avoid blame",noun
192,alien,a person who has been estranged or excluded,noun
193,alienate,to make indifferent or hostile,verb
194,aliment,"that which nourishes, food",noun
195,alimony,a court-enforced allowance made to a former spouse,noun
196,alkali,one of a class of caustic bases,noun
197,allay,"to make quiet or put at rest, to pacify or appease",verb
198,allege,to assert without proof,verb
199,allegiance,"loyalty to a person, group, or cause",noun
200,allegory,a symbolic narrative,noun
201,alleviate,"to make easier to endure, lessen",verb
202,alliance,"the state of being allied, the act of allying or uniting",noun
203,allocate,to assign or plot,verb
204,allot,to distribute by lot,verb
205,alloy,to mix,verb
206,allude,to refer casually or indirectly,verb
207,allure,"to invite by something flattering or acceptable, to entice",verb
208,allusion,"an indirect reference, a hint, a reference to something",noun
209,alluvion,"overflow, flood",noun
210,ally,"to unite, or form a connection between",verb
211,almanac,"a book or table listing nautical, astronomical, etc. Events",noun
212,aloft,in or into the air,adverb
213,aloof,"reserved and remote, physically or emotionally distant",adjective
214,altar,a table or similar flat-topped structure for religious rites,noun
215,alter,to change the form or structure of,verb
216,alteration,the act of making different,noun
217,altercate,"to argue, quarrel or wrangle with someone",verb
218,alternate,"to perform by turns or in succession, interchange regularly",verb
219,alternative,relating to a choice between two or more possibilities,adjective
220,altitude,the height measured from sea level up to any given point,noun
221,alto,a musical section higher than tenor and lower than soprano,noun
222,altruism,"regard for others, both natural and moral, kindness",noun
223,amalgam,a combination of different things,noun
224,amalgamate,"blend, merge",verb
225,amass,to collect into a mass or heap,verb
226,amateur,non-professional,adjective
227,amatory,of or relating to love,adjective
228,ambiance,"mood, quality, atmosphere",noun
229,ambidextrous,having equal ability in both hands,adjective
230,ambiguous,"to be vague, non-specific",adjective
231,ambitious,"possessing, or controlled by ambition",adjective
232,ambivalent,"experiencing contradictory feelings, beliefs, or motivations",adjective
233,amble,"slow walk, stroll",noun
234,ambrosial,succulently sweet or fragrant,adjective
235,ambulance,emergency vehicle that transports sick or injured people,noun
236,ambulate,to relocate one's self under the power of one's own legs,verb
237,ambush,to act of lying in concealment as to attack by surprise,verb
238,ameliorate,"to make or become better, to improve",verb
239,amenable,"open to influence or advice, agreeable",adjective
240,amend,"to make better, to change",verb
241,amenity,pleasantness,noun
242,americanism,a trait particuliar to the us or its citizens,noun
243,amiable,"friendly, sociable",adjective
244,amicable,"peaceable, characterized by showing goodwill",adjective
245,amiss,"wrong, faulty, out of order, improper",adjective
246,amity,the cooperative and supportive relationship between people,noun
247,amnesty,to grant a pardon (to a group),verb
248,amoral,being neither moral nor immoral,adjective
249,amorous,"inclined to love, having a propensity to love",adjective
250,amorphous,lacking definite form,adjective
251,amour,a love affair,noun
252,ampere,the base si unit of electrical current,noun
253,ampersand,"the symbol ""&""",noun
254,amphibious,able to live in water and on land,adjective
255,amphitheater,a semi-circular acoustic backdrop for an outdoor venue,noun
256,ample,"large, great in size, extent, capacity, or bulk, spacious",adjective
257,amplitude,"the measure of something's size, largeness, magnitude",noun
258,amply,abundantly,adverb
259,amputate,"to surgically remove a part of the body, especially a limb",verb
260,amusement,entertainment,noun
261,anachronism,"a chronological mistake, the erroneous dating of an event",noun
262,anagram,a word/phrase formed from another rearranging its letters,noun
263,analgesic,"of or relating to analgesia, anodyne",adjective
264,analogous,"corresponding to something else, bearing some resemblance",adjective
265,analogy,similarity between like features of two things,noun
266,analyst,someone who analyzes,noun
267,analyze,to subject to analysis,verb
268,anarchy,a state of society without government or law,noun
269,anathema,a person or thing detested or loathed,noun
270,anatomy,the art of studying the different parts of an organized body,noun
271,ancestry,"condition as to ancestors, ancestral lineage",noun
272,ancillary,"subordinate, secondary, auxiliary, accessory",adjective
273,anecdote,"a short account of a history, usually amusing",noun
274,anemia,a medical condition of too little hemoglobin,noun
275,anemometer,a device to measure wind speed,noun
276,anesthesia,"a method of preventing sensation, used to eliminate pain",noun
277,anew,over again,adverb
278,angelic,"belonging to, resembling, or proceeding from, angels",adjective
279,anglo-saxon,native or inhabitant of england prior to the norman conquest,adjective
280,anglophobia,fear or dislike of england,noun
281,anguish,to suffer pain,verb
282,angular,"relating to an angle or angles, having an angle or angles",adjective
283,anhydrous,free from water,adjective
284,animadversion,"a criticism, a critical remark",noun
285,animalcule,an older term for a microscopic animal or protozoan,noun
286,animate,to impart motion or the appearance of motion to,verb
287,animosity,strong hostility,noun
288,animus,the basic impulses and instincts which govern one's actions,noun
289,annal,occurring once a year,noun
290,annex,"to add something to another, to incorporate into",verb
291,annihilate,"to reduce to nothing, to destroy, to eradicate",verb
292,annotate,to add annotation,verb
293,annuity,a specified income payable at stated intervals for period,noun
294,annul,to formally revoke the validity of,verb
295,annunciation,the act of announcing something,noun
296,anode,electrode of an electrochemical cell where oxidation occurs,noun
297,anoint,to rub or sprinkle on,verb
298,anomalous,"deviating from what is standard, expected or normal",adjective
299,anomaly,a deviation from a rule or from what is regarded as normal,noun
300,anonymity,"the quality or state of being anonymous, anonymousness",noun
301,antagonism,"a strong natural dislike or hatred, antipathy",noun
302,ante,"risks, stakes",verb
303,antecede,"to go before, to precede",verb
304,antechamber,a small room used as an entryway area to a larger room,noun
305,antedate,"to occur before an event or time, to predate",verb
306,antediluvian,"old, ancient",adjective
307,antemeridian,"of or relating to morning, that happens in the morning",adjective
308,antemundane,being or occurring prior to the creation of the world,adjective
309,antenatal,occurring or existing before birth,adjective
310,anterior,before in place,adjective
311,anteroom,"a waiting room, a small room before a larger one",noun
312,anthology,a book or collection of writings,noun
313,anthracite,a slow-burning coal,noun
314,anthropocentric,giving preference to humans above all other considerations,adjective
315,anthropoid,having characteristics of a human being,adjective
316,anthropology,the holistic scientific and social study of humanity,noun
317,anthropomorphous,resembling a human being,adjective
318,antic,a ludicrous or extravagant gesture,verb
319,antichrist,one who works against the teachings of christ,noun
320,antidepressant,a substance that is used in the treatment of mood disorders,noun
321,antidote,a remedy to counteract the effects of poison,noun
322,antigen,a toxin that induces an immune response in the body,noun
323,antilogy,a contradiction in related terms or ideas,noun
324,antipathy,a deep seated feeling of dislike,noun
325,antiphon,a devotional piece of music sung responsively,noun
326,antiphony,"alternate, responsive singing by a two part choir",noun
327,antipodes,any two places that are on opposite sides of the earth,noun
328,antiquary,"a person who is knowledgeable of, or who collects antiques",noun
329,antiquate,to cause to become old or obsolete,verb
330,antique,"of, or belonging to the past, not modern",adjective
331,antiseptic,"of, or relating to antisepsis, or the use of antiseptics",adjective
332,antislavery,opposed to the practice of slavery,adjective
333,antispasmodic,"referring to something that suppresses spasms, like a drug",adjective
334,antistrophe,the second section of an ancient Greek choral ode,noun
335,antithesis,a proposition diametrically opposite of another proposition,noun
336,antitoxin,"a substance, formed in the body, that counters a toxin",noun
337,antonym,a word which has the opposite meaning of another,noun
338,anxious,"greatly concerned, respecting something future or unknown",adjective
339,apartheid,any system that separates people according to race,noun
340,apathy,complete lack of emotion or motivation about something,noun
341,aperture,an opening or gap in something,noun
342,apex,the highest point of something,noun
343,aphorism,a saying embodying a general truth,noun
344,apiary,a place where bees and their hives are kept,noun
345,aplomb,"self-confidence, poise, composure",noun
346,apocryphal,of doubtful authenticity,adjective
347,apogee,the point in orbit around Earth when the object is farthest,noun
348,apolitical,having no interest or involvement in politics,adjective
349,apostasy,the renunciation of a belief or set of beliefs,noun
350,apostate,"a person who forsakes his religion, cause, party",noun
351,apostle,"a missionary, or leader of a religious mission",noun
352,apothecary,a person who makes and provides/sells drugs and/or medicines,noun
353,apothegm,"a short, witty, instructive saying, an aphorism or maxim",noun
354,apotheosis,the fact or action of becoming or making into a god,noun
355,appalling,causing dismay or horror,adjective
356,apparent,"capable of being seen, or easily seen",adjective
357,apparition,"a supernatural appearance of a person or thing, like a ghost",noun
358,appease,pacify or placate,verb
359,appellate,describing something that is appealed to,adjective
360,append,to add as supplement or in addition,verb
361,appertain,to relate to,verb
362,applicable,"suitable for application, relevant, appropriate",adjective
363,application,the act of putting to a special use or purpose,noun
364,apportion,to divide and distribute portions of a whole,verb
365,apposite,"appropriate, relevant, well-suited, fit",adjective
366,appraise,to assess the value or quality of,verb
367,apprehend,"to take or seize, to take hold of",verb
368,apprehensive,anticipating something with anxiety or fear,adjective
369,apprentice,a person who's learning a trade from a skilled employer,noun
370,apprise,"to notify, or to make aware, to inform",verb
371,approbation,approval,noun
372,appropriate,suitable or fitting for a particular purpose,adjective
373,appurtenance,an appendage added to something else,noun
374,apropos,of an appropriate or pertinent nature,adjective
375,aptitude,natural ability to acquire knowledge or skill,noun
376,aquatic,relating to water,adjective
377,aqueduct,a small canal containing fluid,noun
378,aqueous,consisting mostly of water,adjective
379,arable,"suitable for cultivation, such as by ploughing",adjective
380,arbiter,a person empowered to make decisions,noun
381,arbitrary,"random, not based on reason or system",adjective
382,arbitrate,"to judge, to umpire",verb
383,arbitrator,a person delegated the authority to settle a dispute,noun
384,arbor,"a shady sitting place, usually in a park or garden",noun
385,arboreal,of or relating to trees,adjective
386,arboriculture,the cultivation of trees and shrubs,noun
387,arcade,a row of arches,noun
388,arcane,known or understood by very few,adjective
389,archaeology,the scientific study of historic or prehistoric peoples,noun
390,archaic,of or characterized by antiquity,adjective
391,archangel,a powerful angel that leads many other angels,noun
392,archbishop,a senior bishop who is in charge of an archdiocese,noun
393,archdeacon,"(anglican,eastern orthodox) a senior administrative official",noun
394,archetype,the original model from which all similar things are copied,noun
395,archipelago,a cluster of island,noun
396,archive,any extensive record or collection of data,noun
397,ardent,"intensely devoted, fervent, passionate",adjective
398,ardor,passion,noun
399,arduous,difficult and tiring,adjective
400,aria,a musical piece written for a solo voice with accompaniment,noun
401,arid,extremely dry,adjective
402,aristocrat,"one of a ruling class, a noble",noun
403,armada,a fleet of warships,noun
404,armful,the amount an arm or arms can hold,noun
405,armistice,a formal agreement to end fighting,noun
406,armory,a place where arms (weapons) are kept,noun
407,aroma,smell (usually in relation to food),noun
408,arouse,"to evoke or awaken a feeling, emotion or response",verb
409,arraign,to officially charge someone in a court of law,verb
410,arrange,"to set up, to organize, especially in a positive manner",verb
411,arrangement,the act of arranging,noun
412,arrant,"complete, total",adjective
413,arrear,"work to be done, obligation",noun
414,arrogant,"haughty, conceited",adjective
415,arrogate,"assume, take or claim (something) without justification",verb
416,arroyo,"a small watercourse, usually dry except for heavy rains",noun
417,arsenal,a collection or supply of weapons or munitions,noun
418,artesian,pertaining to a well in which water rises from pressure,adjective
419,artful,"performed with, or characterized by, art or skill",adjective
420,arthurian,of or relating to the legend of king arthur,adjective
421,articulate,express (an idea of feeling) fluently and coherently,verb
422,artifact,an object made or shaped by humans,noun
423,artifice,a crafty but underhanded deception,noun
424,artisan,a worker in a skilled trade,noun
425,artless,"having or displaying no guile, cunning, or deceit",adjective
426,ascendant,"rising, moving upward",adjective
427,ascent,the act of ascending a motion upwards,noun
428,ascertain,"to find out definitely, to discover or establish",verb
429,ascetic,a person who practices severe self-discipline,noun
430,ascribe,to attribute a cause or characteristic to something,verb
431,aseptic,free of disease-causing microbes,adjective
432,asexual,"having no distinct sex, having no interest in sex",adjective
433,ashen,of the pale gray color of ash,adjective
434,asinine,"foolish, unintelligent or silly",adjective
435,askance,"turned to the side, especially of the eyes",adjective
436,askew,turned or twisted to one side,adjective
437,asperity,harshness of tone or manner,noun
438,aspersion,an attack on somebody's reputation or good name,noun
439,aspiration,"ambition, goal",noun
440,aspire,"to hope or dream, especially towards a profession",verb
441,assail,to make a concerted of violent attach on,verb
442,assailant,someone who attacks or assails another violently,noun
443,assassin,to assassinate,verb
444,assay,to examine or analyze,verb
445,assent,"to agree to, give approval to",verb
446,assert,to state a fact or belief confidently and forcefully,verb
447,assess,"to determine, estimate or judge the value of, to evaluate",verb
448,assessor,one who assesses a property for tax evaluation,noun
449,asset,something or someone of any value,noun
450,asseverate,"to declare earnestly, seriously, or positively, to affirm",verb
451,assiduous,"diligent, industrious",adjective
452,assignee,one to whom a thing is assigned,noun
453,assimilate,to take in and incorporate as one's own,verb
454,assonance,the repetition of similar or identical vowel sounds,noun
455,assonant,having successive similar vowel sounds,adjective
456,assonate,to correspond in (particularly vowel) sounds,verb
457,assuage,make an unpleasant feeling less intense,verb
458,assurance,a declaration tending to inspire full confidence,noun
459,astound,to overwhelm with amazement,verb
460,astral,"relating to or resembling the stars, starry",adjective
461,astringent,"sharp, caustic, severe",adjective
462,astute,"shrewd, sharp",adjective
463,asunder,"apart, divided",adjective
464,asylum,a place of safety,noun
465,atheist,"of or relating to atheists or atheism, atheistic",adjective
466,athirst,thirsty,adjective
467,athwart,"across, crosswise",adv
468,atomizer,an instrument for reducing a liquid to spray or vapor,noun
469,atone,"to make reparation, compensation, or amends, for an offence",verb
470,atrocious,"frightful, evil, cruel or monstrous",adjective
471,atrocity,an extremely wicked or cruel act,noun
472,atrophy,to wither or waste away,verb
473,attache,an official associated with an embassy,noun
474,attain,"to accomplish, to achieve",verb
475,attainment,the act of arriving at or reaching,noun
476,attenuate,"to reduce in size, force, value, amount, or degree",verb
477,attest,"to affirm to be correct, true, or genuine",verb
478,attribute,"to ascribe (something) to a given cause, reason etc",verb
479,attrition,wearing or grinding down by friction,noun
480,atypical,not conforming to the normal type,adjective
481,auburn,of a reddish-brown colour,adjective
482,audacious,"showing willingness to take bold risks, recklessly daring",adjective
483,audible,capable of being heard,adjective
484,audit,"an official verification of records, especially financial",noun
485,audition,a trial to test a performer's suitability for something,noun
486,auditor,a person appointed to examine accounting records,noun
487,auditory,"of, or relating to hearing",adjective
488,augment,to make bigger,verb
489,augur,"to foretell events, to exhibit signs of future events",verb
490,augury,a divination based on the behaviour of animals,noun
491,august,"inspiring reverence or admiration, majestic",adjective
492,augustinian,pertaining to st. augustine of hippo,noun
493,aura,distinctive atmosphere or quality associated with something,noun
494,aural,of or pertaining to the ear,adjective
495,aureole,"any encircling ring of light, halo",noun
496,auricle,the outer ear or pinna,noun
497,auriferous,"containing or producing gold, gold-bearing",adjective
498,aurora,an atmospheric phenomenon creating bands of light in the sky,noun
499,auroral,pertaining to the dawn,adjective
500,auspice,patronage or protection,noun
501,austere,"severe or strict in manner, attitude, or appearance",adjective
502,autarchy,a condition of absolute power,noun
503,authentic,"of the same origin as claimed, genuine",adjective
504,authoritarian,"of, or relating to, absolute obedience to an authority",adjective
505,autobiography,"a self-written biography, the story of one's own life",noun
506,autocracy,a form of government in which one individual holds all power,noun
507,autocrat,an absolute ruler with infinite power,noun
508,automaton,a robot designed to follow a sequence of instructions,noun
509,autopsy,a post-mortem examination to discover the cause of death,noun
510,autumnal,of or relating to autumn,adjective
511,auxiliary,"helping, giving assistance or support",adjective
512,avalanche,a large mass of snow sliding suddenly downward,noun
513,avant-garde,"innovative, pioneering, especially when obviously so",adjective
514,avarice,"greediness over wealth, covetousness",noun
515,avatar,an incarnation or manifestation of a person or idea,noun
516,avenge,to vindicate by inflicting pain or evil on a wrongdoer,verb
517,aver,to state or assert to be the case,verb
518,averse,to turn away,verb
519,avert,to turn aside or away,verb
520,aviary,an enclosure for keeping birds confined,noun
521,avid,having or showing keen interest,adjective
522,avidity,"greediness, strong appetite",noun
523,avocation,"a calling away, a diversion",noun
524,avow,assert or confess openly,verb
525,avuncular,"in the manner of an uncle, pertaining to an uncle",adjective
526,awaken,to cause to become awake,verb
527,awe,to inspire fear and reverence,verb
528,awry,"crooked, distorted, out of place",adjective
529,axiom,a self-evident truth requiring no proof,noun
530,aye,"an affirmative vote, one who votes in the affirmative",noun
531,azan,(Islam) the call to prayer proclaimed five times a day,noun
532,azure,"a light, purplish shade of blue",adjective
533,bacchanalian,riotously drunken,adjective
534,baconian,of or pertaining to the philosopher Francis Bacon,adjective
535,bacterium,a single celled organism with no nucleus,noun
536,badger,"to pester, to annoy persistently",verb
537,badinage,"playful raillery, banter",noun
538,baffle,"totally bewilder, confuse or perplex",verb
539,bailiff,"a legal officer, similar to a sheriff or deputy",noun
540,baize,a woollen fabric resembling felt,noun
541,bale,"a large, wrapped bundle of something (ie, cotton, hay)",noun
542,baleful,"threatening harm, menacing",adjective
543,balk,to pass over or by,verb
544,ballast,any heavy material used to stabilize a ship,noun
545,balsam,a sweet-smelling oil or resin derived from various plants,noun
546,banal,so lacking in originality as to be obvious and boring,adjective
547,bandy,"to give and receive reciprocally, to exchange",verb
548,bane,a cause of great distress or annoyance,noun
549,banter,the playful and friendly exchange of teasing remarks,noun
550,bar,"except fro, apart from",preposition
551,barb,a sharp projection near the end of an arrow or similar item,noun
552,barcarole,a venetian folk song traditionally sung by gondoliers,noun
553,bard,"a poet, often one who plays an instrument",noun
554,baritone,the male voice between tenor and bass,noun
555,barograph,a recording aneroid barometer,noun
556,barometer,an instrument for measuring atmospheric pressure,noun
557,barrage,to bombard someone with something,verb
558,barren,"empty, vacant",adjective
559,barrister,a lawyer who pleads in court,noun
560,barterer,one who trades goods for other goods without involving money,noun
561,bashful,"shy, inclined to avoid notice",adjective
562,bask,"to revel in, to lie exposed to warmth and light",verb
563,bass,of sound which is low in pitch or frequency,adjective
564,baste,"to sew with long, loose stitches",verb
565,bastion,a projecting part of a rampart or other fortification,noun
566,bathos,"depth, bottom",noun
567,baton,a short stick or staff used to conduct,noun
568,battalion,a large body of troop ready for battle,noun
569,batten,"to become better, improve in condition",verb
570,battery,a fortified emplacement for heavy guns,noun
571,bauble,"a cheap showy ornament piece of jewellery, a gewgaw",noun
572,bawdy,"soiled, dirty",adjective
573,bawl,to shout or utter in a loud and intense manner,verb
574,beam,"to emit beams of light, shine, radiate,",verb
575,beatific,"blessed, blissful, heavenly",adjective
576,beatify,to make blissful,verb
577,beatitude,"supreme, utmost bliss and happiness",noun
578,beau,a frequent or attentive male companion,noun
579,becalm,"to make calm or still, make quiet, calm",verb
580,beck,a stream or small river,noun
581,bedaub,"to smear upon, to soil",verb
582,bedeck,"to deck, ornament, or adorn, to grace",verb
583,bedlam,a place or situation of chaotic uproar,noun
584,bedraggle,to make something wet and limp,verb
585,befog,to envelop in fog,verb
586,befriend,to make a friend of,verb
587,befuddle,to perplex or confuse (someone),verb
588,beget,"to cause, to produce",verb
589,begrudge,to be reluctant,verb
590,beguile,to deceive or delude craftily,verb
591,behemoth,a huge or monstrous creature,noun
592,behest,"to promise, vow",verb
593,belabor,to work at something more than necessary,verb
594,belay,"to surround, environ, enclose",verb
595,beleaguer,to lay siege to,verb
596,belie,"to lie around, encompass",verb
597,belle,an attractive woman,noun
598,bellicose,demonstrating aggression and willingness to fight,adjective
599,belligerent,"hostile, aggressive",adjective
600,bellwether,"the leading sheep of a flock, usually wearing a bell",noun
601,bemoan,"to complain about, to dismay or worry about something",verb
602,bemuse,to confuse or bewilder,verb
603,benediction,the utterance or bestowing of a blessing,noun
604,benefactor,somebody who gives one a gift,noun
605,benefice,to bestow a benefice upon,verb
606,beneficial,helpful or good to something or someone,adjective
607,beneficiary,one who benefits or receives an advantage,noun
608,benefit,to be or to provide a benefit to,verb
609,benevolent,having a disposition to do good,adjective
610,benign,"gentle, kindly",adjective
611,benison,"a blessing, benediction",noun
612,bent,"curved, crooked",adjective
613,bequeath,to pass or to leave something over to someone else,verb
614,berate,"scold, chide",verb
615,bereave,"to deprive by or as if by violence, rob, strip",verb
616,bereft,deprived,adjective
617,beret,"a type of round, brimless cap with a soft top and a headband",noun
618,berserk,furiously violent or out of control,adjective
619,berth,to bring (a ship or vehicle) into its berth,verb
620,beseech,to beg or implore,verb
621,beset,to surround or hem in,verb
622,besmear,"to smear over, sully",verb
623,besmirch,"to make dirty, to soil",verb
624,bestial,beast-like,adjective
